op,dynamics,note,meanW,stdW,semW,deltaF_eq,deltaF_info_full,deltaF_macro,deltaF_intra,deltaF_total,W_diss,eps,eps_se,pR_init,pR_final,DKL_init_full,DKL_final_full,DKL_init_macro,DKL_final_macro,DKL_init_intra,DKL_final_intra,recon_err_init,recon_err_final,mass,gamma_ud,dt_ud,relax_steps,n_lambda_steps,n_particles
Create,underdamped,underdamped write-like / known-to-known,2.9510350227355957,2.4792847633361816,0.03200742866302276,0.0,-0.011920341701611936,-0.11506990646052706,0.10314956475891528,-0.011920341701611936,2.9629553644372075,0.0245,0.0019958185455262877,0.0,0.9754999999999999,0.6989639260812462,0.6870435843796343,0.6931471805599453,0.5780772740994182,0.005816745521300807,0.10896631028021608,1.1102230246251565e-16,0.0,1.0,1.0,0.0005,8,2000,6000
Update,underdamped,underdamped overwrite-like / unknown-to-target,3.195840358734131,2.53767466545105,0.03276123905794798,0.0,0.6774254409217664,0.5744042569041785,0.1030211840175879,0.6774254409217664,2.5184149178123647,0.0255,0.0020350982777251818,0.5021666666666667,0.9745,0.008992886768909256,0.6864183276906757,9.388918272798877e-06,0.5744136458224514,0.008983497850636471,0.11200468186822438,-1.3877787807814457e-17,0.0,1.0,1.0,0.0005,8,2000,6000
Delete,underdamped,underdamped landauer-like / unknown-to-blank0,3.1485884189605713,2.5852580070495605,0.03337553735650775,0.0,0.6947946294149262,0.5965901117499673,0.09820451766495884,0.6947946294149262,2.453793789545645,0.0195,0.0017851120413016099,0.5153333333333334,0.019500000000000003,0.007928836684941131,0.7027234660998674,0.00047029595294115906,0.5970604077029085,0.007458540731999989,0.10566305839695883,-1.5612511283791264e-17,0.0,1.0,1.0,0.0005,8,2000,6000
