op,n_bins,meanW,deltaF_eq,deltaF_info_full,deltaF_macro,deltaF_intra,deltaF_total,W_diss,DKL_init_full,DKL_final_full,recon_err_init,recon_err_final
Create,120,1.6066983938217163,0.0,-0.03827561519738043,-0.04562782665132625,0.00735221145394583,-0.03827561519738043,1.6449740090190967,0.6939449332760169,0.6556693180786365,1.1102230246251565e-16,1.1102230246251565e-16
Create,240,1.6066983938217163,0.0,-0.03731923887525168,-0.045627826651325365,0.008308587776073635,-0.03731923887525168,1.644017632696968,0.6953065089839849,0.6579872701087333,1.1102230246251565e-16,1.1102230246251565e-16
Create,480,1.6066983938217163,0.0,-0.035163747134030476,-0.045627826651325365,0.010464079517295019,-0.035163747134030476,1.6418621409557468,0.6976727638894211,0.6625090167553906,2.220446049250313e-16,0.0
Update,120,1.5988974571228027,0.0,0.6555644074789009,0.6470049968466537,0.008559410632247116,0.6555644074789009,0.9433330496439019,0.002480893749424246,0.6580453012283252,-8.716985466783456e-17,0.0
Update,240,1.5988974571228027,0.0,0.6561278968975552,0.647004996846654,0.009122900050901463,0.6561278968975552,0.9427695602252475,0.00427243275225195,0.6604003296498072,-3.122502256758253e-17,-2.220446049250313e-16
Update,480,1.5988974571228027,0.0,0.6550356975902132,0.6470049968466539,0.00803070074355935,0.6550356975902132,0.9438617595325896,0.009218222745559198,0.6642539203357724,-1.9081958235744878e-17,-1.1102230246251565e-16
Delete,120,1.6202694177627563,0.0,0.6719043968928173,0.6626514680026543,0.00925292889016316,0.6719043968928173,0.948365020869939,0.002123850119453893,0.6740282470122713,-7.45931094670027e-17,-1.1102230246251565e-16
Delete,240,1.6202694177627563,0.0,0.6744814926179846,0.662651468002654,0.011830024615330491,0.6744814926179846,0.9457879251447717,0.003301287625940299,0.6777827802439249,-2.6454533008646308e-17,1.1102230246251565e-16
Delete,480,1.6202694177627563,0.0,0.6744430946805323,0.6626514680026538,0.01179162667787839,0.6744430946805323,0.945826323082224,0.007183066991793096,0.6816261616723254,0.0,0.0
