t_monotonic,t_wall,gpu_name,power_W,util_pct,memory_MiB,error
3809.804296387,1777948370.0849767,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3810.031899124,1777948370.3125792,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3810.260485115,1777948370.541165,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3810.490710046,1777948370.7713902,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3810.718633776,1777948370.999314,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3810.94679411,1777948371.2274745,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3811.174631394,1777948371.4553115,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3811.402225783,1777948371.6829062,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3811.629338311,1777948371.9100184,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3811.856358049,1777948372.137038,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3812.083826695,1777948372.3645067,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3812.311805015,1777948372.592485,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3812.539034581,1777948372.8197145,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3812.766668632,1777948373.0473487,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3812.995416558,1777948373.2760966,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3813.222423951,1777948373.5031042,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3813.449735306,1777948373.7304153,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3813.678588026,1777948373.959268,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3813.905659026,1777948374.1863394,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3814.133508655,1777948374.414189,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3814.362417243,1777948374.6430976,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3814.589988219,1777948374.8706686,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3814.816642355,1777948375.0973222,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3815.045865583,1777948375.3265457,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3815.274803675,1777948375.5554836,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3815.502339341,1777948375.7830193,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3815.729461892,1777948376.0101426,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3815.957223349,1777948376.2379034,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3816.184903373,1777948376.4655836,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3816.413709912,1777948376.69439,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3816.640337554,1777948376.921018,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3816.867272098,1777948377.1479523,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3817.094616647,1777948377.3752966,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3817.321421351,1777948377.6021016,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3817.548973935,1777948377.8296537,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3817.777144615,1777948378.0578249,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3818.005019987,1777948378.2857,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3818.232123833,1777948378.512804,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3818.458846226,1777948378.739526,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3818.685775753,1777948378.9664557,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3818.913234683,1777948379.1939151,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3819.142784151,1777948379.4234645,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3819.369352588,1777948379.6500328,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3819.5979222,1777948379.8786023,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3819.826060875,1777948380.1067412,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3820.053863123,1777948380.3345435,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3820.2818629,1777948380.562543,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3820.509360038,1777948380.79004,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3820.736914368,1777948381.0175946,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3820.965142356,1777948381.2458224,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3821.192351052,1777948381.4730313,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3821.421010249,1777948381.7016904,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3821.648353542,1777948381.9290338,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3821.876190807,1777948382.1568706,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3822.103570888,1777948382.384251,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3822.330232648,1777948382.6109128,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3822.557315268,1777948382.8379953,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3822.784894445,1777948383.0655744,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3823.012992986,1777948383.2936735,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3823.241571084,1777948383.522251,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3823.469139184,1777948383.7498198,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3823.696767497,1777948383.9774475,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3823.924984738,1777948384.205665,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3824.151861357,1777948384.4325411,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3824.379470149,1777948384.6601503,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3824.60621521,1777948384.8868954,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3824.833215875,1777948385.1138964,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3825.06011163,1777948385.3407915,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3825.287581121,1777948385.5682611,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3825.514607099,1777948385.7952871,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3825.743238846,1777948386.023919,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3825.969919855,1777948386.2505996,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3826.196397939,1777948386.4770782,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3826.423441774,1777948386.7041218,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3826.652087676,1777948386.9327676,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3826.879659825,1777948387.16034,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3827.107371978,1777948387.3880527,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3827.335052973,1777948387.615733,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3827.562476744,1777948387.8431566,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3827.79081075,1777948388.0714905,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3828.017654216,1777948388.2983341,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3828.24485473,1777948388.5255349,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3828.472488632,1777948388.7531686,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3828.700636037,1777948388.981316,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3828.928383461,1777948389.209064,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3829.155616942,1777948389.4362974,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3829.38375905,1777948389.6644394,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3829.611109094,1777948389.8917892,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3829.838579541,1777948390.1192596,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3830.068208589,1777948390.3488889,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3830.295078192,1777948390.575758,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3830.522628741,1777948390.8033087,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3830.751817535,1777948391.0324976,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3830.97987786,1777948391.2605581,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3831.20827747,1777948391.4889576,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3831.436704279,1777948391.7173843,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3831.664485272,1777948391.9451654,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3831.891703666,1777948392.1723845,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3832.11916721,1777948392.3998475,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3832.34668414,1777948392.6273642,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3832.57511877,1777948392.8557987,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3832.802720178,1777948393.0834005,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3833.030457854,1777948393.3111384,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3833.25994252,1777948393.5406227,NVIDIA A100-SXM4-40GB,51.69,4.0,30772.0,
3833.48754946,1777948393.76823,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3833.714449892,1777948393.9951298,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3833.941774253,1777948394.2224545,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3834.171039594,1777948394.45172,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3834.399449861,1777948394.6801298,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3834.62799494,1777948394.908675,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3834.855559207,1777948395.136239,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3835.082494097,1777948395.363174,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3835.310211413,1777948395.5908916,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3835.537263098,1777948395.817943,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3835.764643297,1777948396.0453236,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3835.992134072,1777948396.272814,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3836.221434471,1777948396.5021145,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3836.448224312,1777948396.7289045,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3836.67596879,1777948396.9566486,NVIDIA A100-SXM4-40GB,52.07,3.0,30772.0,
3836.906456929,1777948397.1871378,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3837.135384045,1777948397.4160643,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3837.362237669,1777948397.642918,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
