op,note,meanW,stdW,semW,deltaF_eq,deltaF_info_full,deltaF_macro,deltaF_intra,deltaF_total,W_diss,eps_or_meas_error,eps_se,pR_init,pR_final,deltaF_logical_eps,jarzynski_diag_deltaF,DKL_init_full,DKL_final_full,DKL_init_macro,DKL_final_macro,DKL_init_intra,DKL_final_intra,recon_err_init,recon_err_final,MI_bits_peak,MI_bits_final,MI_decay_bits,accuracy_peak,accuracy_final,sagawa_bound,sagawa_ok,c_mag,write_c_analytic,write_c_refined,write_calib_status
Create,write-like / known-to-known,1.6066983938217163,1.4833699464797974,0.014833699464797973,0.0,-0.03731923887525168,-0.045627826651325365,0.008308587776073635,-0.03731923887525168,1.644017632696968,0.0078,0.000879724957017817,0.0,0.9922000000000001,,,0.6953065089839849,0.6579872701087333,0.6931471805599453,0.6475193539086199,0.0021593284240395815,0.010467916200113217,1.1102230246251565e-16,1.1102230246251565e-16,,,,,,,,2.774658203125,4.21875,2.774658203125,converged
Update,overwrite-like / unknown-to-target,1.5988974571228027,1.4573906660079956,0.014573906660079955,0.0,0.6561278968975552,0.647004996846654,0.009122900050901463,0.6561278968975552,0.9427695602252475,0.0079,0.0008853016435091489,0.49609999999999993,0.9921,0.6470354171551203,0.19989252090454102,0.00427243275225195,0.6604003296498072,3.0420308466252294e-05,0.6470354171551203,0.0042420124437857285,0.013364912494687192,-3.122502256758253e-17,-2.220446049250313e-16,,,,,,,,2.774658203125,4.21875,2.774658203125,converged
Delete,landauer-like / unknown-to-blank0,1.6202694177627563,1.4461259841918945,0.014461259841918945,0.0,0.6744814926179846,0.662651468002654,0.011830024615330491,0.6744814926179846,0.9457879251447717,0.0048,0.0006911555541265655,0.49369999999999997,0.0048,0.6627308501031821,0.3285369873046875,0.003301287625940299,0.6777827802439249,7.9382100528139e-05,0.6627308501031821,0.0032219055254121866,0.015051930140742678,-2.6454533008646308e-17,1.1102230246251565e-16,,,,,,,,3.0,4.21875,2.774658203125,converged
Read,measurement / correlation generation,1.6721417903900146,1.9164694547653198,0.019164694547653197,0.0,0.0,,,0.0,1.6721417903900146,0.10809999999999997,,,,,-0.03531646728515625,,,,,,,,,0.8193465554909092,0.41843496233455485,0.40091159315635433,0.8919,0.7913,-0.5679277548400264,True,,4.21875,2.774658203125,converged
